,index,seed,batch_size,learning_rate,accuracy
589,65,2529251996,70,0.01,99.09
590,66,2532536610,10,0.001,99.33999999999999
591,66,2532536610,10,0.005,99.32
592,66,2532536610,10,0.01,98.99
593,66,2532536610,40,0.001,99.29
594,66,2532536610,40,0.005,99.37
595,66,2532536610,40,0.01,99.24
596,66,2532536610,70,0.001,99.22
597,66,2532536610,70,0.005,98.77
598,66,2532536610,70,0.01,98.89
599,67,255510853,10,0.001,99.3
600,67,255510853,10,0.005,99.03999999999999
601,67,255510853,10,0.01,99.29
602,67,255510853,40,0.001,99.39
603,67,255510853,40,0.005,99.29
604,67,255510853,40,0.01,99.35000000000001
605,67,255510853,70,0.001,99.03
606,67,255510853,70,0.005,99.06
607,67,255510853,70,0.01,98.37
608,68,255882314,10,0.001,99.24
609,68,255882314,10,0.005,99.14
610,68,255882314,10,0.01,99.29
611,68,255882314,40,0.001,99.21
612,68,255882314,40,0.005,99.33
613,68,255882314,40,0.01,99.25
614,68,255882314,70,0.001,98.25
615,68,255882314,70,0.005,99.03
616,68,255882314,70,0.01,98.89
617,69,259157639,10,0.001,99.3
618,69,259157639,10,0.005,99.17
619,69,259157639,10,0.01,98.99
620,69,259157639,40,0.001,99.33999999999999
621,69,259157639,40,0.005,99.42
622,69,259157639,40,0.01,99.33
623,69,259157639,70,0.001,99.16
624,69,259157639,70,0.005,98.68
625,69,259157639,70,0.01,98.94
626,70,2593958864,10,0.001,99.29
627,70,2593958864,10,0.005,99.3
628,70,2593958864,10,0.01,99.22999999999999
629,70,2593958864,40,0.001,99.51
630,70,2593958864,40,0.005,99.3
631,70,2593958864,40,0.01,99.4
632,70,2593958864,70,0.001,99.05000000000001
633,70,2593958864,70,0.005,99.15
634,70,2593958864,70,0.01,98.6
635,71,2614903653,10,0.001,99.07000000000001
636,71,2614903653,10,0.005,99.24
637,71,2614903653,10,0.01,99.19
638,71,2614903653,40,0.001,99.27
639,71,2614903653,40,0.005,99.26
640,71,2614903653,40,0.01,99.33999999999999
641,71,2614903653,70,0.001,98.88
642,71,2614903653,70,0.005,99.00999999999999
643,71,2614903653,70,0.01,99.07000000000001
644,72,2697657113,10,0.001,99.18
645,72,2697657113,10,0.005,99.22999999999999
646,72,2697657113,10,0.01,99.26
647,72,2697657113,40,0.001,99.35000000000001
648,72,2697657113,40,0.005,99.29
649,72,2697657113,40,0.01,99.44
650,72,2697657113,70,0.001,99.03
651,72,2697657113,70,0.005,99.03
652,72,2697657113,70,0.01,98.89
653,73,2730238063,10,0.001,99.3
654,73,2730238063,10,0.005,99.29
655,73,2730238063,10,0.01,99.18
656,73,2730238063,40,0.001,99.33
657,73,2730238063,40,0.005,99.32
658,73,2730238063,40,0.01,99.28
659,73,2730238063,70,0.001,99.21
660,73,2730238063,70,0.005,99.02
661,73,2730238063,70,0.01,99.05000000000001
662,74,2757040540,10,0.001,99.17
663,74,2757040540,10,0.005,99.13
664,74,2757040540,10,0.01,99.09
665,74,2757040540,40,0.001,99.46000000000001
666,74,2757040540,40,0.005,99.42
667,74,2757040540,40,0.01,99.46000000000001
668,74,2757040540,70,0.001,98.42999999999999
669,74,2757040540,70,0.005,98.65
670,74,2757040540,70,0.01,99.00999999999999
671,75,2776040634,10,0.001,99.27
672,75,2776040634,10,0.005,99.35000000000001
673,75,2776040634,10,0.01,98.88
674,75,2776040634,40,0.001,99.49
675,75,2776040634,40,0.005,99.19
676,75,2776040634,40,0.01,99.19
677,75,2776040634,70,0.001,98.97
678,75,2776040634,70,0.005,99.13
679,75,2776040634,70,0.01,98.77
680,76,2892625031,10,0.001,99.37
681,76,2892625031,10,0.005,99.19
682,76,2892625031,10,0.01,99.07000000000001
683,76,2892625031,40,0.001,99.38
684,76,2892625031,40,0.005,99.36
685,76,2892625031,40,0.01,99.29
686,76,2892625031,70,0.001,98.98
687,76,2892625031,70,0.005,98.71
688,76,2892625031,70,0.01,98.8
689,77,2896982052,10,0.001,99.37
690,77,2896982052,10,0.005,99.03
691,77,2896982052,10,0.01,99.33
692,77,2896982052,40,0.001,99.55000000000001
693,77,2896982052,40,0.005,99.39
694,77,2896982052,40,0.01,99.39
695,77,2896982052,70,0.001,98.9
696,77,2896982052,70,0.005,98.6
697,77,2896982052,70,0.01,99.08
698,78,2905537244,10,0.001,99.19
699,78,2905537244,10,0.005,99.17
700,78,2905537244,10,0.01,99.35000000000001
701,78,2905537244,40,0.001,99.53
702,78,2905537244,40,0.005,99.39
703,78,2905537244,40,0.01,99.17
704,78,2905537244,70,0.001,98.91
705,78,2905537244,70,0.005,99.21
706,78,2905537244,70,0.01,98.39
707,79,2972481434,10,0.001,99.19
708,79,2972481434,10,0.005,99.03999999999999
709,79,2972481434,10,0.01,99.21
710,79,2972481434,40,0.001,99.22
711,79,2972481434,40,0.005,99.32
712,79,2972481434,40,0.01,99.32
713,79,2972481434,70,0.001,99.06
714,79,2972481434,70,0.005,98.94
715,79,2972481434,70,0.01,98.85000000000001
716,80,3074348097,10,0.001,99.37
717,80,3074348097,10,0.005,99.22
718,80,3074348097,10,0.01,99.26
719,80,3074348097,40,0.001,99.31
720,80,3074348097,40,0.005,99.39
721,80,3074348097,40,0.01,99.31
722,80,3074348097,70,0.001,98.89
723,80,3074348097,70,0.005,99.2
724,80,3074348097,70,0.01,98.79
725,81,3101554985,10,0.001,99.21
726,81,3101554985,10,0.005,99.31
727,81,3101554985,10,0.01,99.22
728,81,3101554985,40,0.001,99.38
729,81,3101554985,40,0.005,99.27
730,81,3101554985,40,0.01,99.29
731,81,3101554985,70,0.001,99.17
732,81,3101554985,70,0.005,99.2
733,81,3101554985,70,0.01,98.83999999999999
734,82,3134028926,10,0.001,99.29
735,82,3134028926,10,0.005,99.16
736,82,3134028926,10,0.01,99.24
737,82,3134028926,40,0.001,99.37
738,82,3134028926,40,0.005,99.33999999999999
739,82,3134028926,40,0.01,99.29
740,82,3134028926,70,0.001,98.86
