index,seed,batch_size,learning_rate,mse_x100
415,2248853483,16,0.0001,2.405181
404,2206623722,16,0.0001,3.054439
716,3904340210,16,0.0001,3.852339
200,1162160888,16,0.0001,2.782494
384,2129571036,16,0.0001,2.81996
114,671370736,16,0.0001,4.870434
182,1058247394,16,0.0001,5.006145
269,1566897210,16,0.0001,3.047042
789,4227551937,16,0.0001,4.313961
278,1610757762,16,0.0001,2.418494
281,1633689763,16,0.0001,5.498363
592,3137472214,16,0.0001,6.206388
19,111036138,16,0.0001,4.989322
492,2595817034,16,0.0001,3.80776
230,1338504106,16,0.0001,4.887269
414,2247048610,16,0.0001,1.812944
383,2127800988,16,0.0001,3.488716
59,394648074,16,0.0001,3.740023
562,3003078969,16,0.0001,6.216367
473,2496665773,16,0.0001,1.802194
590,3122884426,16,0.0001,3.602754
255,1504865558,16,0.0001,3.947526
721,3921314390,16,0.0001,2.227267
257,1506939261,16,0.0001,4.254138
393,2150553651,16,0.0001,3.743406
485,2554939550,16,0.0001,5.662489
692,3760755573,16,0.0001,2.227185
140,758205763,16,0.0001,4.694966
105,611740421,16,0.0001,2.213759
131,724971537,16,0.0001,3.937775
199,1161561840,16,0.0001,5.742158
158,902042846,16,0.0001,2.866143
3,21174011,16,0.0001,3.827816
519,2701434094,16,0.0001,2.788384
30,169732016,16,0.0001,3.622299
70,445137485,16,0.0001,4.782469
446,2389495087,16,0.0001,1.953785
239,1398484920,16,0.0001,3.921065
466,2470762242,16,0.0001,3.743759
710,3877630807,16,0.0001,5.413661
44,272352353,16,0.0001,2.418685
325,1850540657,16,0.0001,5.612918
260,1521987554,16,0.0001,5.131917
480,2522820003,16,0.0001,2.080113
243,1408839075,16,0.0001,4.088008
417,2254686220,16,0.0001,2.045359
483,2541896510,16,0.0001,2.528507
602,3191878208,16,0.0001,1.625668
560,2993669067,16,0.0001,3.932928
165,940384068,16,0.0001,6.715217
254,1482483631,16,0.0001,6.926117
389,2143545896,16,0.0001,2.49095
261,1531464075,16,0.0001,4.380836
348,1965403372,16,0.0001,4.419286
680,3682145537,16,0.0001,7.118925
509,2661570197,16,0.0001,1.728712
678,3673102392,16,0.0001,2.374768
377,2109090333,16,0.0001,5.388763
94,562268768,16,0.0001,1.844958
424,2282138552,16,0.0001,5.49546
37,216786113,16,0.0001,3.262439
425,2285642393,16,0.0001,1.844258
181,1052560785,16,0.0001,4.730453
594,3143512465,16,0.0001,5.289075
335,1882035438,16,0.0001,3.445665
353,1986934876,16,0.0001,5.348895
300,1713094143,16,0.0001,3.441529
535,2824880552,16,0.0001,3.561732
774,4135776717,16,0.0001,3.001734
108,639556787,16,0.0001,1.90044
771,4124951723,16,0.0001,7.075164
297,1696717655,16,0.0001,2.087651
329,1863500636,16,0.0001,1.781215
464,2466057392,16,0.0001,2.018511
743,4008632452,16,0.0001,2.702371
689,3723888822,16,0.0001,1.823844
330,1866164957,16,0.0001,2.127394
714,3902311213,16,0.0001,2.943773
427,2289301305,16,0.0001,5.898754
25,148120861,16,0.0001,2.094618
526,2753642846,16,0.0001,1.606221
574,3060991435,16,0.0001,5.085743
157,896525782,16,0.0001,3.724225
477,2507900402,16,0.0001,2.534017
303,1724073766,16,0.0001,3.595076
385,2135266170,16,0.0001,5.258429
313,1791796778,16,0.0001,2.785135
262,1541173015,16,0.0001,7.786628
663,3573854486,16,0.0001,7.500021
600,3185467481,16,0.0001,4.530576
643,3434441203,16,0.0001,1.635835
166,941311679,16,0.0001,2.337961
475,2497828035,16,0.0001,3.879882
749,4013194867,16,0.0001,2.072086
116,673966379,16,0.0001,1.842244
6,52656976,16,0.0001,1.941918
34,211363302,16,0.0001,4.921693
41,265269413,16,0.0001,2.204222
10,71224468,16,0.0001,2.772949
690,3735593747,16,0.0001,5.783695
623,3286057775,16,0.0001,2.860657
762,4092324967,16,0.0001,2.584739
486,2557940651,16,0.0001,1.542175
660,3548145907,16,0.0001,5.817239
742,4007076560,16,0.0001,5.741848
298,1699009411,16,0.0001,4.135294
248,1453106942,16,0.0001,4.433183
245,1424872628,16,0.0001,3.214649
641,3409443031,16,0.0001,2.673521
476,2506811872,16,0.0001,6.619716
356,1996252896,16,0.0001,4.623835
734,3990164418,16,0.0001,5.359343
197,1154008649,16,0.0001,3.074896
103,604155025,16,0.0001,3.692167
783,4182502943,16,0.0001,4.955398
397,2172497549,16,0.0001,4.970969
4,28733316,16,0.0001,1.874945
752,4033508543,16,0.0001,6.337555
237,1377423930,16,0.0001,3.925335
63,413165419,16,0.0001,1.982418
60,396655087,16,0.0001,2.182484
133,730718496,16,0.0001,3.189749
784,4185953520,16,0.0001,2.813669
614,3242341532,16,0.0001,3.80589
215,1251431559,16,0.0001,6.231629
119,676253911,16,0.0001,5.362688
701,3845349337,16,0.0001,1.743997
342,1922497550,16,0.0001,4.043351
220,1272288745,16,0.0001,2.502178
32,184959732,16,0.0001,4.504306
675,3666569384,16,0.0001,2.345122
576,3071709870,16,0.0001,4.395498
340,1912821113,16,0.0001,4.418109
26,151839516,16,0.0001,1.929423
778,4160976551,16,0.0001,5.545825
644,3448916239,16,0.0001,5.559757
794,4253578573,16,0.0001,4.655507
184,1069307391,16,0.0001,6.779768
33,198446591,16,0.0001,3.889874
251,1469407407,16,0.0001,1.681713
652,3493870620,16,0.0001,4.31333
679,3679196966,16,0.0001,1.715128
508,2659716458,16,0.0001,3.161494
501,2644009808,16,0.0001,2.623252
331,1868188737,16,0.0001,3.358347
507,2658514171,16,0.0001,7.862389
443,2371197261,16,0.0001,2.114417
233,1355626407,16,0.0001,6.549755
