index,seed,epsilon,learning_rate,mse_x100
395,2158855564,10,0.0001,0.851222
721,3921314390,10,0.0001,1.006808
651,3493553134,10,0.0001,1.068085
668,3596653133,10,0.0001,1.069439
257,1506939261,10,0.0001,0.856686
692,3760755573,10,0.0001,1.166014
485,2554939550,10,0.0001,0.986812
140,758205763,10,0.0001,1.02262
105,611740421,10,0.0001,1.024916
393,2150553651,10,0.0001,0.869722
131,724971537,10,0.0001,1.034576
199,1161561840,10,0.0001,1.098101
106,617166321,10,0.0001,1.000084
3,21174011,10,0.0001,1.088629
519,2701434094,10,0.0001,1.030973
158,902042846,10,0.0001,1.0264
43,270656786,10,0.0001,1.07767
30,169732016,10,0.0001,1.059069
440,2360502694,10,0.0001,0.933526
446,2389495087,10,0.0001,1.107647
564,3008411910,10,0.0001,1.106935
70,445137485,10,0.0001,0.87546
111,647698690,10,0.0001,0.900872
239,1398484920,10,0.0001,1.080764
466,2470762242,10,0.0001,0.908708
44,272352353,10,0.0001,1.099782
172,976112731,10,0.0001,1.010665
710,3877630807,10,0.0001,0.881595
768,4110967985,10,0.0001,1.000066
522,2715378609,10,0.0001,0.957474
325,1850540657,10,0.0001,1.004654
728,3951062027,10,0.0001,0.919623
797,4284553206,10,0.0001,1.021693
480,2522820003,10,0.0001,1.034573
260,1521987554,10,0.0001,1.039526
417,2254686220,10,0.0001,0.976308
243,1408839075,10,0.0001,1.00305
420,2264540520,10,0.0001,0.961679
530,2780540957,10,0.0001,1.070245
67,442520612,10,0.0001,1.132435
483,2541896510,10,0.0001,0.968362
491,2588718722,10,0.0001,1.042278
591,3124267070,10,0.0001,1.056654
560,2993669067,10,0.0001,0.894044
602,3191878208,10,0.0001,1.024429
360,2023190408,10,0.0001,1.081114
165,940384068,10,0.0001,1.125837
403,2199766449,10,0.0001,1.086792
632,3337992903,10,0.0001,0.994679
254,1482483631,10,0.0001,0.901516
272,1574408004,10,0.0001,1.162762
265,1554938878,10,0.0001,1.0129
146,811164311,10,0.0001,1.09218
389,2143545896,10,0.0001,1.064793
348,1965403372,10,0.0001,0.959325
261,1531464075,10,0.0001,0.924783
680,3682145537,10,0.0001,0.997979
244,1412693097,10,0.0001,1.018541
528,2767536841,10,0.0001,1.109075
509,2661570197,10,0.0001,0.965855
432,2322983363,10,0.0001,1.12688
678,3673102392,10,0.0001,0.976872
748,4012994154,10,0.0001,0.978985
377,2109090333,10,0.0001,1.002889
94,562268768,10,0.0001,1.183858
424,2282138552,10,0.0001,1.113997
198,1154111010,10,0.0001,1.074134
337,1906945232,10,0.0001,1.043279
425,2285642393,10,0.0001,1.064373
181,1052560785,10,0.0001,0.953125
37,216786113,10,0.0001,1.050037
594,3143512465,10,0.0001,1.088865
709,3876295064,10,0.0001,0.923989
547,2932601263,10,0.0001,1.149475
460,2448918602,10,0.0001,0.972101
335,1882035438,10,0.0001,0.962915
353,1986934876,10,0.0001,1.125773
554,2961926555,10,0.0001,0.949796
300,1713094143,10,0.0001,1.052571
535,2824880552,10,0.0001,1.01561
774,4135776717,10,0.0001,0.981201
98,584030681,10,0.0001,1.036801
771,4124951723,10,0.0001,0.969928
712,3887599921,10,0.0001,1.100317
61,397905515,10,0.0001,0.887303
108,639556787,10,0.0001,0.945689
297,1696717655,10,0.0001,0.977742
329,1863500636,10,0.0001,0.888073
5,39902650,10,0.0001,1.236697
505,2653050075,10,0.0001,0.959866
464,2466057392,10,0.0001,0.996139
290,1663235101,10,0.0001,1.071601
743,4008632452,10,0.0001,0.977798
689,3723888822,10,0.0001,1.024845
266,1555037757,10,0.0001,1.022145
86,519585921,10,0.0001,0.902937
